h_min,X,kc,shell,k_rms,gamma_crit_50pct,fail_prob_at_gamma_crit,mean_H_at_gamma_crit
0.6,0.47560967430916007,5,3-4,3.448223,0.0234375,1.0,0.032099705714371075
0.6,0.7431401161080625,4,3-4,3.448223,0.0234375,1.0,0.1003468184232984
0.6,0.8118182992921601,5,4-5,4.505048,0.0234375,1.0,0.13256706153404557
0.6,1.21581805699396,5,5-6,5.513207,0.0234375,1.0,0.2483574393336624
0.6,1.2684660926440001,4,4-5,4.505048,0.0234375,1.0,0.2699236665036055
0.6,1.321137984192111,3,3-4,3.448223,0.0234375,1.0,0.27189527776487077
0.6,1.8997157140530627,4,5-6,5.513207,0.0234375,1.0,0.40364033437231717
0.6,2.00560148029476,5,6-8,7.080963,0.0234375,1.0,0.41174598580063587
0.6,2.2550508313671114,3,4-5,4.505048,0.0234375,1.0,0.4743400734329923
0.6,2.97256046443225,2,3-4,3.448223,0.0234375,1.0,0.5394290686601352
0.6,3.1337523129605622,4,6-8,7.080963,0.0234375,1.0,0.5628746043262933
0.6,3.2862344134467594,5,8-10,9.063987,0.5390625,0.5454545454545454,0.49199561549853493
0.6,3.3772723805387788,3,5-6,5.513207,0.28125,0.5545454545454546,0.4820348196056646
0.6,4.865693047558561,5,10-12,11.029158,0.7265625,0.55,0.5576821410218765
0.6,5.0738643705760005,2,4-5,4.505048,0.140625,0.4318181818181818,0.6008797417958441
0.6,5.1347412710105615,4,8-10,9.063987,0.609375,0.5636363636363636,0.5841637955836957
0.6,5.571115223041,3,6-8,7.080963,0.3515625,0.4590909090909091,0.6080998967068473
0.6,7.598862856212251,2,5-6,5.513207,0.234375,0.4681818181818182,0.6620017690332384
0.6,7.602645386810251,4,10-12,11.029158,0.7265625,0.4772727272727273,0.6564266477352922
0.6,9.128428926240998,3,8-10,9.063987,0.65625,0.5409090909090909,0.6770931931349299
0.6,11.890241857729,1,3-4,3.448223,0.2578125,0.5636363636363636,0.5077724606550159
0.6,12.535009251842249,2,6-8,7.080963,0.890625,0.45,0.551887852261191
0.6,13.515814020996002,3,10-12,11.029158,2.484375,0.4863636363636364,0.5416403222711857
0.6,20.295457482304002,1,4-5,4.505048,0.375,0.4409090909090909,0.5756606610974129
0.6,20.538965084042246,2,8-10,9.063987,1.453125,0.4090909090909091,0.6107551742847009
0.6,30.395451424849004,1,5-6,5.513207,0.5859375,0.4318181818181818,0.6049331187208674
0.6,30.410581547241005,2,10-12,11.029158,1.96875,0.4909090909090909,0.5842107861653488
0.6,50.140037007368996,1,6-8,7.080963,0.9375,0.5227272727272727,0.5753658188958547
0.6,82.15586033616898,1,8-10,9.063987,1.78125,0.4772727272727273,0.5930718805533615
0.6,121.64232618896402,1,10-12,11.029158,2.25,0.45,0.6196980989519376
0.7,0.47560967430916007,5,3-4,3.448223,0.0234375,1.0,0.03275296070032106
0.7,0.7431401161080625,4,3-4,3.448223,0.0234375,1.0,0.09939014359076302
0.7,0.8118182992921601,5,4-5,4.505048,0.0234375,1.0,0.13016793605848742
0.7,1.21581805699396,5,5-6,5.513207,0.0234375,1.0,0.24890908936087278
0.7,1.2684660926440001,4,4-5,4.505048,0.0234375,1.0,0.273487599173051
0.7,1.321137984192111,3,3-4,3.448223,0.0234375,1.0,0.26930371143185017
0.7,1.8997157140530627,4,5-6,5.513207,0.0234375,1.0,0.40516748963805393
0.7,2.00560148029476,5,6-8,7.080963,0.0234375,1.0,0.41288288221794084
0.7,2.2550508313671114,3,4-5,4.505048,0.0234375,1.0,0.47281344135748143
0.7,2.97256046443225,2,3-4,3.448223,0.0234375,1.0,0.5374038728883076
0.7,3.1337523129605622,4,6-8,7.080963,0.0234375,1.0,0.5634198493417855
0.7,3.2862344134467594,5,8-10,9.063987,0.0234375,1.0,0.6001620877856506
0.7,3.3772723805387788,3,5-6,5.513207,0.0234375,1.0,0.5979336445206523
0.7,4.865693047558561,5,10-12,11.029158,0.0234375,1.0,0.6826032155264882
0.7,5.0738643705760005,2,4-5,4.505048,0.1640625,0.4954545454545455,0.5869584848785021
0.7,5.1347412710105615,4,8-10,9.063987,0.5859375,0.4818181818181818,0.5997763299485243
0.7,5.571115223041,3,6-8,7.080963,0.421875,0.5863636363636363,0.5743836507156168
0.7,7.598862856212251,2,5-6,5.513207,0.28125,0.5818181818181818,0.6300545900301674
0.7,7.602645386810251,4,10-12,11.029158,0.7265625,0.45454545454545453,0.6690734783925303
0.7,9.128428926240998,3,8-10,9.063987,0.6328125,0.5681818181818182,0.6674686022898045
0.7,11.890241857729,1,3-4,3.448223,0.09375,0.5318181818181819,0.6951388450248851
0.7,12.535009251842249,2,6-8,7.080963,0.3984375,0.5545454545454546,0.6972608694449266
0.7,13.515814020996002,3,10-12,11.029158,0.796875,0.4954545454545455,0.7235003178530881
0.7,20.295457482304002,1,4-5,4.505048,0.1875,0.5272727272727272,0.7318371877643759
0.7,20.538965084042246,2,8-10,9.063987,0.5625,0.4409090909090909,0.7795130107560166
0.7,30.395451424849004,1,5-6,5.513207,0.2578125,0.5318181818181819,0.7606040693058554
0.7,30.410581547241005,2,10-12,11.029158,0.7265625,0.4863636363636364,0.7839462014949282
0.7,50.140037007368996,1,6-8,7.080963,0.421875,0.5045454545454545,0.7820262701648893
0.7,82.15586033616898,1,8-10,9.063987,0.5625,0.4909090909090909,0.8123574722970338
0.7,121.64232618896402,1,10-12,11.029158,0.796875,0.5272727272727272,0.8060588890171188
0.8,0.47560967430916007,5,3-4,3.448223,0.0234375,1.0,0.03244033152847357
0.8,0.7431401161080625,4,3-4,3.448223,0.0234375,1.0,0.0999548575662657
0.8,0.8118182992921601,5,4-5,4.505048,0.0234375,1.0,0.13193959794813037
0.8,1.21581805699396,5,5-6,5.513207,0.0234375,1.0,0.24870222060066888
0.8,1.2684660926440001,4,4-5,4.505048,0.0234375,1.0,0.26905164042491136
0.8,1.321137984192111,3,3-4,3.448223,0.0234375,1.0,0.2728236000334155
0.8,1.8997157140530627,4,5-6,5.513207,0.0234375,1.0,0.402339424331134
0.8,2.00560148029476,5,6-8,7.080963,0.0234375,1.0,0.41231443400928836
0.8,2.2550508313671114,3,4-5,4.505048,0.0234375,1.0,0.4721496882811725
0.8,2.97256046443225,2,3-4,3.448223,0.0234375,1.0,0.544414165944634
0.8,3.1337523129605622,4,6-8,7.080963,0.0234375,1.0,0.5657566136938942
0.8,3.2862344134467594,5,8-10,9.063987,0.0234375,1.0,0.5990868743434329
0.8,3.3772723805387788,3,5-6,5.513207,0.0234375,1.0,0.5987648775760566
0.8,4.865693047558561,5,10-12,11.029158,0.0234375,1.0,0.6844776408322819
0.8,5.0738643705760005,2,4-5,4.505048,0.0234375,1.0,0.6832348034591269
0.8,5.1347412710105615,4,8-10,9.063987,0.0234375,1.0,0.7152568015175857
0.8,5.571115223041,3,6-8,7.080963,0.0234375,1.0,0.7238178743886734
0.8,7.598862856212251,2,5-6,5.513207,0.2109375,0.42727272727272725,0.679963234075454
0.8,7.602645386810251,4,10-12,11.029158,0.0234375,1.0,0.7769737918625546
0.8,9.128428926240998,3,8-10,9.063987,0.6328125,0.5181818181818182,0.6776775026146399
0.8,11.890241857729,1,3-4,3.448223,0.09375,0.4636363636363636,0.7230535428007066
0.8,12.535009251842249,2,6-8,7.080963,0.375,0.4727272727272727,0.7215870935227223
0.8,13.515814020996002,3,10-12,11.029158,0.75,0.509090909090909,0.7205098265735377
0.8,20.295457482304002,1,4-5,4.505048,0.1875,0.5454545454545454,0.7284140594826451
0.8,20.538965084042246,2,8-10,9.063987,0.5625,0.41363636363636364,0.7856559304428804
0.8,30.395451424849004,1,5-6,5.513207,0.234375,0.4318181818181818,0.8000208735129002
0.8,30.410581547241005,2,10-12,11.029158,0.796875,0.5727272727272728,0.752264386435578
0.8,50.140037007368996,1,6-8,7.080963,0.3515625,0.45454545454545453,0.8077552653926251
0.8,82.15586033616898,1,8-10,9.063987,0.609375,0.4954545454545455,0.8104594512296307
0.8,121.64232618896402,1,10-12,11.029158,0.65625,0.42727272727272725,0.8484948247062923
